@relation bmwreponses

@attribute IncomeBracket {0,1,2,3,4,5,6,7}
@attribute FirstPurchase numeric
@attribute LastPurchase numeric
@attribute responded {1,0}

@data

4,200210,200601,0
5,200301,200601,1
6,200411,200601,0
5,199609,200603,0
6,200310,200512,1
4,200502,200601,1
5,200309,200602,1
6,200110,200603,0
6,199710,200603,1
5,200310,200601,1
5,199801,200512,0
1,200402,200511,0
4,200011,200601,1
2,199704,200601,0
0,199608,200506,1
3,199809,200601,0
0,199610,200505,1
6,200509,200509,0
2,199803,200602,1
3,200402,200702,1
2,199607,200509,1
3,199609,200506,0
1,199701,200510,0
5,200110,200512,0
0,199811,200506,0
5,200403,200512,1
7,200503,200512,0
1,200310,200512,0
5,199909,200603,1
5,200601,200601,0
7,200009,200508,0
0,200402,200602,1
4,199909,200503,0
0,200110,200602,0
0,199706,200603,0
3,199612,200601,1
5,200310,200603,0
3,199609,200702,1
5,200002,200601,1
0,199704,200506,1
3,199707,200507,1
0,199801,200603,0
0,200009,200603,0
6,200409,200508,0
5,200110,200602,0
6,200301,200505,0
0,200409,200601,0
4,200302,200510,0
2,199607,200601,1
3,200601,200601,0
4,199611,200701,0
5,200209,200601,0
4,200503,200509,1
0,199807,200601,1
5,200010,200507,1
6,200410,200701,0
2,199708,200512,1
4,200507,200507,1
4,200501,200512,0
2,200602,200602,1
2,199709,200506,0
1,200010,200512,0
0,199802,200504,0
0,200103,200602,1
5,200002,200509,1
4,200006,200512,0
5,200409,200512,0
2,199804,200603,0
5,200107,200601,0
2,200104,200601,0
0,200411,200602,1
0,200101,200603,1
4,200310,200511,1
2,200012,200510,0
4,200310,200510,1
4,199609,200603,0
0,200509,200602,0
0,200209,200601,1
0,200501,200512,0
1,199701,200603,0
0,200501,200603,1
5,200103,200512,0
6,199801,200601,1
5,200410,200512,0
0,200310,200512,0
0,199610,200507,0
1,200310,200603,0
3,199610,200504,1
0,199608,200504,0
4,199703,200603,0
4,200509,200509,0
5,200602,200602,0
0,199909,200701,1
4,200502,200602,1
2,199809,200610,1
3,199909,200510,0
0,200301,200601,0
2,199701,200603,0
2,200002,200512,1
1,200301,200603,0
1,200510,200510,1
1,200103,200603,1
0,200302,200512,0
2,200301,200512,1
0,200602,200602,0
2,200407,200510,0
4,200202,200602,1
7,200110,200512,0
6,200302,200610,1
6,199608,200509,1
6,200110,200603,0
1,199704,200603,0
0,199704,200512,1
1,199705,200504,1
5,200201,200508,1
0,200401,200512,0
7,200103,200603,1
5,200501,200605,0
5,200002,200601,1
2,200111,200506,1
5,200410,200602,1
0,199704,200601,0
0,199701,200601,1
1,200209,200511,1
4,200401,200601,0
0,200509,200509,1
7,200012,200512,0
3,199610,200504,1
6,200110,200603,1
4,199610,200505,0
4,200409,200508,1
7,199803,200511,1
0,200409,200512,1
5,199705,200601,1
2,200309,200510,0
2,200410,200602,1
0,200209,200602,1
2,200302,200602,1
1,199704,200601,1
2,199612,200601,1
0,200110,200508,0
4,199609,200702,1
2,200509,200509,0
4,200210,200601,0
6,200209,200512,0
7,199810,200512,1
4,200101,200510,0
0,199609,200509,0
5,200407,200512,0
2,199609,200510,1
6,200410,200510,0
0,200410,200602,1
5,200202,200505,0
2,199611,200602,1
2,199909,200609,1
2,200402,200603,1
5,200210,200511,0
2,199812,200511,0
2,200508,200508,1
5,199609,200510,0
3,199610,200510,1
3,200509,200601,0
4,199811,200512,1
5,199701,200509,0
0,199706,200603,0
0,200109,200512,1
1,200510,200602,0
4,199909,200601,1
0,200410,200602,1
2,199907,200512,0
7,200201,200602,0
0,199904,200601,1
1,199703,200508,0
0,200507,200512,0
6,200502,200506,0
7,200401,200603,0
5,200103,200512,1
7,199809,200511,1
4,199608,200512,0
5,200006,200610,1
2,200506,200506,1
0,200310,200603,0
7,200103,200510,0
1,200209,200511,0
2,200507,200507,0
5,200403,200504,0
5,200002,200601,0
7,200509,200509,0
0,200302,200507,0
5,200304,200504,0
1,200602,200602,0
0,199612,200602,1
2,200310,200603,1
0,200006,200512,1
0,200506,200506,0
5,200602,200602,0
0,200509,200509,0
5,200301,200509,0
3,200501,200512,0
0,200602,200603,0
0,200105,200510,1
2,200001,200603,0
3,199702,200603,1
1,200210,200505,0
7,200201,200507,1
4,200302,200510,1
0,200009,200602,1
5,200301,200601,0
1,199608,200505,1
5,200602,200602,0
0,200004,200611,1
0,200302,200508,1
5,200402,200505,0
4,199612,200702,1
7,200404,200601,1
3,200302,200504,1
0,200305,200512,1
1,200309,200603,0
2,200512,200512,0
0,200401,200508,1
7,199801,200510,0
5,200402,200512,0
2,200201,200506,1
